character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
慧,hui4,15,591876,5187528,-0.795,400857,486011,892642,1442373,1604412,952052,1248.776,2370.785,4271.014,6967.986,9550.071,10578.356,5831.165,2.234,51.385,4.281,4.6250,4.0,4.2
蕙,hui4,15,868,40608,-0.958,6024,2982,3692,5664,10122,12990,18.766,14.546,17.665,27.362,60.250,144.333,47.154,4.317,1.158,5.666,4.3750,3.6,3.5
火,huo3,4,315888,178058,0.279,218221,115264,70244,58715,24921,6387,679.816,562.263,336.096,283.647,148.339,70.967,346.855,3.459,492.305,3.307,2.8750,3.1,3.0
伙,huo3,6,31382,31082,0.005,27274,15078,8418,8013,3241,477,84.966,73.551,40.278,38.710,19.292,5.300,43.683,4.350,165.024,3.780,2.3750,2.9,2.7
钬,huo3,9,217,17,0.855,3,7,19,76,78,47,0.009,0.034,0.091,0.367,0.464,0.522,0.248,5.904,0.000,6.000,2.4375,2.0,2.6
货,huo4,8,6647,416,0.882,4940,1080,539,280,200,34,15.389,5.268,2.579,1.353,1.190,0.378,4.360,5.271,211.585,3.672,2.1875,2.4,2.3
获,huo4,10,1242,545,0.390,142,103,229,427,673,213,0.442,0.502,1.096,2.063,4.006,2.367,1.746,5.561,259.433,3.584,3.1250,2.7,2.9
惑,huo4,12,53,33,0.233,9,6,13,20,24,14,0.028,0.029,0.062,0.097,0.143,0.156,0.086,5.964,35.886,4.433,1.9375,2.1,2.8
霍,huo4,16,662,119,0.695,55,46,83,239,240,115,0.171,0.224,0.397,1.155,1.429,1.278,0.776,5.751,30.548,4.501,3.0625,2.8,2.9
击,ji1,5,179,46,0.591,34,32,73,53,27,6,0.106,0.156,0.349,0.256,0.161,0.067,0.183,5.927,278.148,3.554,2.0625,2.0,3.1
玑,ji1,6,383,401,-0.023,296,59,85,147,141,56,0.922,0.288,0.407,0.710,0.839,0.622,0.631,5.788,0.643,5.784,3.2500,3.3,3.2
机,ji1,6,8235,3885,0.359,3539,1989,2379,2068,1586,475,11.025,9.702,11.383,9.990,9.440,5.278,9.470,4.980,1362.312,2.865,2.9375,3.0,3.1
积,ji1,10,155059,25947,0.713,77055,35551,29091,20392,13267,5722,240.047,173.420,139.191,98.512,78.970,63.578,132.286,3.875,528.577,3.276,3.4375,3.2,2.9
姬,ji1,10,774,112371,-0.986,37476,23365,22664,20282,7413,1965,116.748,113.976,108.440,97.981,44.125,21.833,83.851,4.071,8.425,5.026,3.5000,3.2,3.1
基,ji1,11,583083,70011,0.786,265424,106215,83697,71020,76489,50341,826.866,518.122,400.464,343.092,455.292,559.344,517.197,3.286,1023.583,2.989,3.1875,3.0,3.0
箕,ji1,14,330,104,0.521,228,15,31,40,65,55,0.710,0.073,0.148,0.193,0.387,0.611,0.354,5.868,3.987,5.302,2.1250,2.5,2.6
激,ji1,16,2713,843,0.526,287,1108,1101,568,357,135,0.894,5.405,5.268,2.744,2.125,1.500,2.989,5.399,318.471,3.496,2.6250,2.9,3.0
及,ji2,3,2420,517,0.648,913,398,435,521,476,195,2.844,1.941,2.081,2.517,2.833,2.167,2.397,5.469,958.050,3.018,2.8125,3.0,2.8
吉,ji2,6,2185444,908329,0.413,1210554,570338,472538,391291,303505,145527,3771.196,2782.137,2260.947,1890.295,1806.577,1616.967,2354.687,2.628,86.370,4.059,4.3125,4.0,3.3
级,ji2,6,2437,323,0.766,1217,273,422,389,355,104,3.791,1.332,2.019,1.879,2.113,1.156,2.048,5.516,948.724,3.022,2.6250,2.8,2.8
极,ji2,7,7563,1070,0.752,1803,811,995,1457,2194,1371,5.617,3.956,4.761,7.039,13.060,15.233,8.278,5.033,633.598,3.198,2.6875,2.9,3.0
