top50,char.all.1950,char.all.1960,char.all.1970,char.all.1980,char.all.1990,char.all.2000,n.all.1950,n.all.1960,n.all.1970,n.all.1980,n.all.1990,n.all.2000,char.m.1950,char.m.1960,char.m.1970,char.m.1980,char.m.1990,char.m.2000,n.m.1950,n.m.1960,n.m.1970,n.m.1980,n.m.1990,n.m.2000,char.f.1950,char.f.1960,char.f.1970,char.f.1980,char.f.1990,char.f.2000,n.f.1950,n.f.1960,n.f.1970,n.f.1980,n.f.1990,n.f.2000
25,永,志,伟,龙,燕,博,4844805,3293397,3310924,2985302,1871625,925068,贵,强,德,鹏,晓,成,2549818,1559918,1696413,1595719,1115899,560370,连,平,萍,萍,萍,颖,2876401,2237452,1991443,1637291,1028644,474280
26,志,香,玲,国,亚,涵,4745636,3270170,3232793,2675218,1836479,854177,平,兴,忠,峰,永,凯,2491012,1500563,1612838,1595490,1094210,543104,翠,芬,桂,花,美,莹,2867645,2187155,1957942,1618397,1021472,448094
27,花,海,荣,林,超,涛,4648393,3122833,3146142,2603769,1805554,846126,新,东,玉,金,小,昊,2323995,1497408,1567441,1541903,1048204,534832,菊,艳,晓,云,华,燕,2781993,2090127,1952568,1583100,1010942,440828
28,美,德,凤,云,金,泽,4553687,3055506,2959868,2584192,1782832,845518,云,光,生,晓,金,超,2321119,1492384,1555764,1523995,1009353,524825,文,琴,金,琴,倩,琳,2515929,2068019,1886926,1513432,986832,440571
29,福,新,林,永,春,丽,4317666,2996162,2904004,2521969,1755250,833183,庆,良,洪,成,凯,旭,2263179,1488580,1534922,1434419,969925,515593,清,菊,海,文,云,小,2415601,2038744,1886846,1505167,974905,434883
30,平,玲,晓,强,俊,海,4083392,2981810,2902310,2516390,1711256,833171,良,云,兵,春,勇,强,2256431,1394066,1520587,1397740,917084,513530,芹,萍,爱,平,英,洁,2398747,1980040,1881296,1472364,952032,425896
31,连,丽,新,飞,云,琪,4035066,2957007,2602048,2416833,1709320,830500,全,洪,波,刚,阳,洋,2250963,1389088,1515537,1358374,896500,504532,娥,翠,荣,金,凤,鑫,2265771,1841302,1746790,1464250,933179,423424
32,兴,美,美,杰,梅,阳,3877588,2872569,2422986,2378666,1708897,822890,友,庆,龙,俊,佳,东,2172305,1373134,1496056,1323127,892039,497785,玲,素,芬,丹,秀,悦,2137399,1700693,1716906,1438828,879630,419809
33,祥,花,燕,辉,建,林,3852676,2815077,2420961,2340266,1629656,798752,才,清,光,磊,磊,轩,2140120,1355994,1406155,1223759,889102,485405,月,莲,菊,慧,兰,美,2089336,1661556,1587411,1290654,876962,409913
34,学,爱,强,敏,东,家,3770076,2786913,2394030,2323579,1618995,794599,长,民,荣,红,亮,国,2093027,1350203,1402604,1169819,885297,475470,明,文,敏,婷,琴,彤,2006860,1586184,1471124,1280148,869464,403860
