name,n.male,n.female,beijing,tianjin,hebei,shanxi,neimenggu,liaoning,jilin,heilongjiang,shanghai,jiangsu,zhejiang,anhui,fujian,jiangxi,shandong,henan,hubei,hunan,guangdong,guangxi,hainan,chongqing,sichuan,guizhou,yunnan,xizang,shaanxi,gansu,qinghai,ningxia,xinjiang,others
国庆,383852,27359,6555,4712,24776,13645,13143,16066,11958,20818,7183,31995,17050,28818,5593,13886,34814,39570,20189,18289,9033,6912,950,8284,15030,7471,8152,68,9789,7605,2400,1981,3339,1136
红艳,7298,402822,3748,3292,28408,13516,11808,18521,13932,20992,720,23195,4718,19449,1223,9346,20143,37758,38772,34896,3416,7146,545,5784,14323,14108,17163,51,24273,11885,561,2061,3501,869
艳华,25266,384079,5439,3520,34335,3952,21456,50712,40232,55740,1159,8774,1796,8731,3307,11679,25114,35567,23707,25191,9018,9635,293,1727,8560,1809,10866,34,3369,981,219,758,1308,433
爱英,924,408258,1693,932,20842,26502,4886,2028,1621,3914,2984,17450,17175,16417,13374,27534,76401,60666,15504,31422,14329,21486,4649,335,1162,2026,1886,14,11037,7173,337,830,1724,849
春霞,1858,406712,4554,3373,25799,11640,13139,11447,8907,17893,1703,27244,7385,19867,5159,8202,43219,73977,19035,12441,20419,7654,3595,6194,15973,4857,2450,60,10741,13037,915,3552,3190,949
淑芹,440,408102,12625,7283,47212,526,19147,57419,87715,97861,124,6112,221,5673,822,299,39184,3832,1133,210,774,99,80,367,857,214,349,5,14584,1649,137,1341,508,180
菊英,243,406983,689,281,3746,3749,960,1286,294,763,14080,43864,36381,11481,9675,44030,3625,5710,33992,57659,11956,11534,2707,5732,35776,5442,23245,25,7206,25347,703,1585,2769,934
小龙,395326,11154,2278,1053,13222,14156,9126,5124,5057,4398,2843,23478,12740,30737,8491,22125,12708,22263,20395,19786,17508,10419,2402,13075,42941,9977,8527,92,25417,28903,1791,9718,4796,934
晓红,23581,380809,3779,1454,21513,18263,12054,19958,14815,21716,4063,29182,15976,15433,8474,11674,21093,26357,19958,15237,21729,4777,864,10902,35357,5382,5569,109,15270,11715,1975,3685,5126,931
丽君,9363,394016,3714,2747,15516,10901,8262,37402,10764,16130,7734,17436,33588,13033,11859,13312,21587,18647,16431,29609,41330,11002,2437,3893,30901,2773,3830,73,6223,7062,765,1192,2572,654
玉芬,3166,400141,6758,8849,45485,3943,10949,32241,20093,23287,1474,19535,9484,8980,3252,3176,39739,20766,7614,4978,11176,13969,1128,4334,37789,16145,33641,21,2854,5181,1739,710,3352,673
丽霞,240,402515,2889,1881,30251,28651,20290,17152,11326,20555,2033,10909,11595,7035,18560,13955,23039,31889,16627,14161,48696,12314,4367,2111,10385,4277,4107,43,6501,21333,760,2498,2031,534
艳玲,1576,395877,4152,2936,32821,9941,16538,31559,32700,48264,501,11515,1701,14648,3364,6160,24269,52175,15010,14933,13483,13939,379,2976,7825,2132,8317,42,13625,4521,458,2137,3669,741
小丽,1960,394983,968,386,13363,16947,5839,2538,2080,2783,567,17355,12205,16376,10613,19220,8270,51355,19843,17326,29109,23120,7239,11778,38539,13379,8441,42,24179,17732,392,2369,1991,599
玉平,136803,259694,4347,2844,33881,18351,8223,12266,7688,10029,1710,32775,6033,24012,7248,10371,39656,43955,18790,17017,11237,8072,1395,9586,23654,8848,7762,16,11186,11180,832,2110,1587,672
新,265240,130015,8508,5477,25700,5920,7308,38826,15190,15285,3593,29978,4934,19022,5660,8610,35068,30292,22698,18354,14104,15083,2096,7290,16243,5788,6452,119,11273,4371,826,1875,7387,1925
和平,321508,72416,5419,2576,17081,21829,14947,3696,2298,3250,3728,18941,13512,23496,8775,25623,8964,26728,36670,62689,5811,2939,894,11862,30100,8458,4626,42,15005,9919,484,936,1843,783
素华,7335,383565,3372,2940,19846,1692,6151,43130,5566,2955,1291,21706,5220,31097,14050,5754,18201,22512,6478,7754,10991,3987,275,18084,123296,3915,2422,59,4051,590,238,289,1904,1084
志伟,371756,17385,3573,4098,32546,18773,12798,13747,9029,14430,4883,19394,11535,19230,16761,16674,23429,38730,13039,18542,43304,8735,1445,3222,12090,2780,9705,30,5076,5379,607,1763,2556,734
志勇,384437,4239,4184,3573,29250,15634,11604,11152,5857,9952,2859,13306,6966,10924,16005,26890,19762,28545,26778,36543,39594,12594,1139,6438,22785,6920,6275,42,4223,3682,454,1371,2686,689
清,170953,217390,4002,2261,14201,8067,8295,15169,7397,13239,5946,26344,6808,15285,14118,22213,16122,13500,24859,27444,25756,23405,3485,11756,35362,10926,13965,92,7188,4751,1504,2212,2145,526
月,42077,345714,6469,4363,36798,5839,13376,52222,29780,23383,1114,26853,3455,22234,2871,3714,18725,31281,15767,6393,8457,4019,1859,9898,26390,7523,7152,64,8581,2922,744,2170,2735,829
振华,319274,68256,6974,5469,30817,17997,11828,17568,9501,15151,7927,22592,10827,16786,9242,14249,43937,42902,12892,19028,22959,14679,1451,1984,4549,2432,2944,34,10138,7086,722,1984,2398,746
俊英,18335,368710,8683,7638,68885,25378,17384,11263,6484,10765,854,7815,1776,14975,2624,2850,60190,59523,4465,4332,7422,2313,701,2324,29956,2132,1902,36,11393,7144,749,1577,2422,909
素兰,239,385748,3777,3196,37887,5355,9709,49805,6102,3736,1697,37231,5708,41014,11259,5001,22300,45980,3849,4988,8150,5486,284,14434,41444,1949,2416,19,8246,1389,263,514,1772,1028
冰,175173,210268,7881,3768,21478,7430,7177,39608,20096,26427,4823,15469,6917,13474,6151,8434,31925,45437,14204,13444,23745,19634,3954,4619,10877,4262,3434,69,12634,3179,522,1278,2470,596
锐,284772,100117,4111,2338,8436,12259,5470,11195,11026,14426,1458,17813,3932,34895,2979,6516,14450,26654,41112,12082,17352,5821,2697,16968,49818,10301,18075,110,17904,6883,678,2903,3565,827
小妹,1944,382231,433,378,1628,515,182,376,101,164,39739,52964,28202,23527,13676,25000,1394,1263,6544,38005,20115,69816,13068,1496,3170,20381,16138,4,1530,4183,191,200,255,102
建新,344236,39218,6711,5118,31927,14234,7294,5981,2852,4345,7981,44845,22838,6588,12706,14446,18041,30312,22044,41846,21464,9838,757,2534,8124,2352,4857,45,8523,8197,751,2039,10725,3139
小芳,13696,369442,906,363,13312,11638,2617,982,595,735,3271,28724,22710,14002,13180,31805,6677,24704,21374,32593,22526,26151,5025,11811,37421,9459,6164,33,13608,15897,647,2286,1445,477
瑶,57109,325912,5764,2665,14826,10707,4820,14773,9066,9996,3873,24190,11329,16426,4335,22581,18532,13140,27329,36290,9976,5495,1243,15554,48701,13213,8563,87,19877,4376,401,1814,2406,673
雨,180003,202947,5740,3237,24781,7580,9213,18094,15386,17686,1242,29745,4017,35155,2549,8062,29536,38535,20981,13777,4549,5949,1094,13033,34368,14810,8560,51,9812,2341,237,954,1390,486
文娟,710,382135,3075,3467,21857,16967,6618,6679,4087,7414,12553,35792,21320,25924,6876,18621,34047,29117,18193,15986,19794,8337,1335,2688,8122,2433,5909,25,18711,18657,1941,2938,2703,680
聪,277304,105296,3282,1700,17984,6693,2541,16815,9939,7860,3454,21404,12815,11929,4591,24749,25728,28386,36236,29750,18177,12313,2471,9300,30880,7645,14114,64,14005,3274,178,2388,1409,525
媛媛,637,381569,6462,6665,24986,13360,9047,22860,7959,13361,1898,30872,9400,34742,4332,8245,38782,35483,13486,11019,6496,8349,964,8593,15920,5736,6792,83,19986,7636,668,3005,3684,1008
志军,367067,14556,4765,3294,44837,18438,18291,12522,9505,15386,2794,18518,9239,9809,5032,15312,15901,28217,17872,39463,19985,10965,854,2173,18228,5046,6128,34,10936,9139,874,4238,3807,936
玉林,283474,97424,4311,3886,24493,12642,15386,18320,12228,16874,3882,30713,11081,21927,4352,9411,16887,24015,18857,20903,5744,9306,588,8031,29532,10412,13022,40,8762,15000,2988,3608,2961,736
芬,7495,372285,1301,1312,8595,6737,2551,5821,2701,6216,2325,20275,12696,17589,6763,21359,16948,18224,49114,34496,14192,16532,3637,10437,27159,34118,24021,35,9341,1759,565,1004,1507,442
金荣,122894,251945,5922,7337,37039,3885,11456,17006,14373,23101,4878,23298,16397,18272,8698,15572,29993,48904,17639,6178,12983,13461,2453,1337,3282,4334,13088,11,6435,3020,304,1495,1977,711
康,358991,15788,1763,956,18703,9366,1259,2225,1188,1270,2709,34866,9297,37939,3135,16664,23072,28859,36846,24026,9066,11928,2223,7948,21836,16645,13891,224,26963,6173,316,772,2079,560
金梅,3052,369771,1936,2179,22981,20586,12931,6125,4994,8050,1463,23535,10033,22623,12823,19703,18802,30771,23969,17661,20823,21598,4864,3119,8549,6767,12598,21,7712,12709,3265,5090,3771,772
小琴,3389,368775,580,190,4268,10346,3095,401,176,293,1765,29739,22913,12609,11415,38255,910,9634,20856,11262,12275,6917,1597,32491,55092,17210,2459,56,23139,31929,669,7035,1924,664
光明,352793,18178,1780,1333,6646,7218,2967,3700,2936,3536,3037,13651,12443,20384,5635,18020,17480,20012,28448,35447,12404,9864,1505,23983,54855,23169,23149,52,8146,4099,749,1437,2072,814
凤云,12732,358013,7454,5787,28192,2063,19223,45639,34489,54395,723,11089,1848,21839,1774,1957,40132,39849,10503,8989,3430,5652,179,1520,5329,2738,4563,6,8352,1132,209,476,824,390
金英,5537,363464,4555,5783,29870,4464,5231,10753,8703,13583,6313,15536,16879,22306,18399,25898,50095,31541,7500,11077,30185,23210,6688,1309,3254,4006,3999,11,3600,1553,469,659,1289,489
庆,258201,108089,4511,2840,14055,7315,7962,10416,7441,15046,6000,24074,5518,30340,2316,12185,20370,19479,26391,19928,11042,13223,1302,16818,40971,12020,10597,4947,10805,2754,939,1755,2297,702
桂芹,1367,364878,5895,4807,47415,441,21422,62685,53939,64703,296,12085,1070,7428,205,223,55442,11518,2051,193,529,203,48,141,1011,483,3211,6,6697,901,144,646,542,226
乐,220455,145304,5504,2595,20771,13374,21412,12954,8003,6309,3302,19735,7744,28395,2447,16096,18582,30176,20214,30724,8875,7463,866,5329,12887,4520,3839,227,34744,7751,953,5633,3499,828
芳芳,3627,361084,1559,1467,21980,21029,5529,4698,2142,4348,1978,16564,23639,27124,8989,22053,26681,53648,18733,16595,5429,7728,1069,1973,6058,8776,3022,24,20450,26665,642,2277,1721,586
永华,240203,124173,2751,2431,12802,4106,6538,11366,7665,12036,5564,28538,11894,20813,5926,12556,25618,25999,16749,13821,14723,10534,1147,15957,40021,16763,20887,49,7302,4640,715,1686,2038,741
美兰,754,362933,1108,695,5689,7843,7566,2941,5140,3545,3531,47998,12867,15166,21776,35212,29652,24983,8755,21846,35509,29748,2660,1518,2059,2729,26567,8,1978,1334,883,557,1273,551
文静,15291,347343,3568,3897,26908,12019,9708,6703,3760,7493,3604,22372,6039,33421,4423,9785,44912,45935,15257,10162,20822,7390,1565,6809,14592,4804,4576,36,14549,9620,1095,3088,2945,777
素芳,1247,360352,1879,1204,29301,12769,6775,17278,3067,1790,1749,21957,9082,29823,4279,4463,13486,33720,6134,6897,14275,5294,492,20874,93828,1567,1745,43,12484,1752,279,752,1601,960
氏,2026,359431,259,244,38153,685,460,833,3482,4757,11,9003,6878,65985,541,422,31552,104908,23802,3448,14851,29174,810,18,264,3395,3158,1,6870,6442,8,644,320,80
美华,26144,334819,2230,1800,4189,1359,1691,11897,2163,4512,15063,50126,26242,14360,31726,35269,22975,5280,12817,49739,25791,14812,764,2559,7187,1861,11684,7,1227,400,114,174,706,239
影,16898,343574,3136,2242,18679,639,5183,39443,40231,44216,1398,19041,2391,117697,1995,3136,8102,22214,3377,2433,3649,1904,1027,3821,5821,3226,1651,22,2381,274,105,165,607,266
志英,29097,331009,3946,3147,30570,11676,6352,7085,4695,7211,6467,36180,12730,18034,4276,10993,21815,19198,17728,16738,19731,16625,828,7526,29696,12338,11340,40,11051,5388,810,2655,2467,770
宏,242350,117610,8032,4590,12148,16824,11781,31582,10988,15468,6042,21992,7999,21166,5357,8353,14107,11860,14041,16715,10008,7998,1471,12752,26658,9254,13103,109,17237,13423,1287,3059,3744,842
剑,330621,28608,5557,2718,9140,10264,4970,12671,4890,6310,6645,31785,21310,19183,5987,25793,10969,10023,24341,29687,10703,19834,1721,10177,27828,12561,13663,84,10733,3843,437,1632,3125,730
荣华,203272,154672,3298,1992,9369,4343,3884,10014,4540,7306,6649,31615,15301,17040,13742,25601,17866,15479,25958,27743,15806,12610,985,9687,38700,10424,16656,48,5373,2162,307,779,1913,754
玉红,36047,321718,5118,4127,29095,8053,10240,21832,12202,16663,1665,26519,4856,20804,2088,7918,40839,48939,14502,10883,5617,6771,683,2808,10728,4478,5400,47,6342,18302,1618,3660,3883,1085
珊珊,5756,349656,4466,2669,24718,6122,3593,12376,10415,20029,1780,18297,19290,27231,17006,12870,37196,31759,17099,11588,20948,11147,1861,3869,8515,8378,4664,30,8929,3802,301,641,1643,449
秀莲,425,354647,2973,1774,20892,16556,18662,10704,7528,10329,2152,8176,8710,7369,15332,7687,34412,35548,7263,10925,25512,23044,2207,1269,13296,2940,7574,18,20483,16120,4649,6156,3713,1099
昊,332290,22099,8848,5078,16502,9422,11870,18891,11095,15090,6158,33147,12944,24191,4503,13844,37331,28902,15164,12716,9437,3236,1093,5415,12993,4825,5632,74,9669,7600,943,4541,2611,591
梅英,375,353654,678,444,7555,8532,1337,1246,625,1401,5316,28771,14037,11200,33772,35099,16852,46795,11561,23108,39088,19476,4941,1839,1798,3351,5672,11,5816,13005,1701,5845,2423,734
明华,227785,125055,2080,1420,6914,1796,2990,8143,5330,7403,10459,29792,17417,16872,11237,18814,18932,17701,25353,18654,10516,9154,1346,16366,50868,18475,13927,31,5954,1857,361,621,1392,683
淑云,1501,351103,10041,7600,29536,4739,17740,46473,46191,70497,502,10372,1582,7495,5621,5892,23467,7494,2866,17419,4669,1027,404,4076,6916,606,773,6,14595,2209,308,619,1137,396
凤珍,2365,350069,4764,3755,19696,3349,12639,37144,22918,27434,8982,33413,10928,7656,5084,4043,10016,10157,17002,6600,24067,29434,563,1579,8963,5850,24093,8,6487,2567,190,2057,775,221
忠,336409,15614,5919,2847,20745,12750,18530,12064,12332,19010,7541,28905,8464,12414,7182,8363,12300,7606,11005,18527,11562,13493,3358,7321,28073,10237,14627,751,5590,13516,7669,5178,3953,904
星,225767,125713,4325,1657,16952,12349,8060,8872,4778,4933,2581,23519,6084,17080,7438,22691,11234,22810,31941,30606,7978,6094,1688,13194,28279,12913,8903,85,22734,5883,769,1679,2737,634
晓丽,1103,350164,2188,1319,23012,23663,13322,18147,12032,19170,1588,12616,10397,13162,5578,4977,35568,40282,9591,5494,20892,5506,1114,5566,23281,4820,10168,54,11129,8703,993,2580,3622,733
文龙,349079,1703,3113,2856,21422,11388,9582,13193,9727,16788,7397,21015,15047,22598,10126,14585,23750,37336,11196,10255,19110,9134,1304,3523,13261,5904,11164,19,11090,7075,1405,1989,2113,603
彪,347949,1212,2881,2275,17021,13311,6798,10956,7208,6035,3098,13666,5075,34486,2827,12094,10263,16913,21522,38545,8642,8743,1795,11198,34032,22458,15865,41,7975,7090,1405,2689,1744,507
丽英,364,347618,3250,2197,22156,9666,8695,17839,11250,15563,5834,13466,19550,5866,39319,12721,12086,14841,3427,8987,50734,27579,4794,543,9739,1776,17747,24,3398,2592,364,536,1102,341
春红,29397,318256,5543,2665,20762,7006,6148,15466,15633,26150,3306,32220,5989,13476,4256,18743,32782,41881,16674,15207,13282,10721,1109,3862,10934,3470,6761,28,7233,2717,260,961,1714,694
晓,133276,214290,3480,1308,19717,10787,3652,6102,2423,3138,4683,20313,16909,9097,3787,6987,59958,54729,17123,14912,16351,12918,1645,7116,18220,5611,6378,94,11913,4123,450,1360,1809,475
玉芹,4753,342199,4490,4982,45503,550,12463,40339,32473,35135,427,28196,2320,15497,635,434,64583,24753,4243,446,938,301,150,416,3055,1419,4157,7,14158,2366,184,1051,905,376
金莲,1402,345142,903,521,7371,12446,12129,3478,2651,3714,3078,9340,17916,14301,17339,33360,8402,8447,22614,53123,24472,18864,2152,2196,9868,5969,11647,20,10544,16762,5280,4214,3459,876
丽芳,1138,345404,1405,892,16240,21898,5725,6437,3615,5579,6456,13622,18833,10754,30508,19989,8300,12891,15169,17052,60031,28711,3943,1200,5167,3428,15430,14,4442,5893,314,1518,850,236
倩倩,2497,343807,1112,1824,24164,14296,1920,4379,1679,2810,1385,25554,16616,47085,5688,5527,52478,66324,14429,5234,2139,3162,913,2081,5495,6483,1969,22,14467,11089,395,985,1796,697
洪,267039,78483,3416,2455,7046,2254,2113,11581,5658,5630,2949,16134,5446,9519,4814,9577,8770,5893,14598,14785,12233,6889,2063,39545,93756,30801,20962,119,2678,871,797,707,1438,581
帆,209432,136032,7650,3298,19972,13204,5350,12588,6755,7730,4694,19191,10675,15174,5129,14257,17750,23094,32065,21594,10924,4845,1607,7799,23053,5758,10478,97,23881,8768,467,3150,3622,921
玉芝,5750,339008,6504,5387,32150,1632,15797,43203,21551,35313,396,6482,1174,18029,1000,753,50658,52046,10157,6119,2183,1907,103,2433,8384,4902,10142,9,1780,1130,341,505,1727,861
文秀,49699,294141,3203,3482,20364,11046,8677,8706,6750,11025,2858,17342,4060,19618,5380,10330,24439,22445,20081,13424,8060,7486,763,12916,44925,18142,16328,27,7320,7207,2895,1938,2044,559
媛,856,342853,8011,8546,14740,13567,9176,16776,6968,7442,2396,25463,7177,14626,4717,15449,18683,13021,18335,22295,10174,13630,1463,8243,19339,6941,13041,86,25699,7123,1052,5153,3671,706
金玉,91337,250056,2959,3306,17378,5224,5700,9170,7052,11408,1022,13160,8696,14473,18491,12245,22093,26047,28916,44939,14731,11374,4009,4982,20357,4814,10799,17,5234,7112,1226,1811,1997,651
露,59087,282010,1941,1405,5187,4820,3545,7230,3270,3655,1973,29893,8464,23589,2642,18078,9416,21939,42142,26364,5294,9912,777,25068,39408,17342,8435,79,12117,3478,243,907,1970,645
金秀,9923,330327,1243,2037,15358,4815,2205,1586,1456,2013,4747,17292,4543,12329,11466,48430,15082,15941,26546,47670,8679,17904,408,4543,25286,11649,16092,16,5628,10027,1578,1261,1894,526
连英,4359,334280,3905,2942,14810,6309,3674,11397,5938,8120,2712,25145,11220,10435,6420,29877,33898,25541,12077,23943,28714,28161,2207,1721,9458,6402,10973,2,5641,4562,511,989,708,227
娟娟,550,337270,1307,1314,14910,22147,5322,1154,952,1732,2403,17420,7287,32719,6713,12986,26728,51027,21726,13670,4051,4187,686,1020,3751,5474,3090,28,32598,34982,749,3220,1898,569
建伟,318503,18202,4589,3839,32818,20264,7142,8296,5197,8289,3777,19858,19326,6691,8824,5316,25625,65371,6965,12710,14903,4286,581,4852,13787,2223,11522,34,7949,6760,604,1413,2197,697
永强,334216,2030,3045,2744,28022,16599,14968,10041,5185,7947,2679,7707,7047,10261,4602,5160,23809,39095,5885,6539,28572,11347,1762,6768,23116,7802,7178,26,18587,19150,1766,3136,2879,799
玉清,96667,238802,5881,3088,17397,7653,11235,29963,16245,24147,1351,10761,2672,7281,10456,6551,18600,15289,14643,9327,18997,12486,950,6033,57290,2503,5687,39,5114,5970,3314,1557,2259,726
美珍,1584,333501,952,549,4719,7103,5187,1103,507,1032,14330,33059,32595,7896,30271,26511,6779,1448,15529,22160,39821,30613,2487,2080,3179,4080,38386,9,1268,528,114,141,480,169
桂云,15447,319434,5627,4621,27193,3330,18472,39547,25703,40193,1135,15728,2249,16109,2059,4372,41607,23896,12344,24831,4562,4591,318,1238,3443,1765,2332,8,4298,1291,258,434,938,389
素梅,233,333664,2872,1384,37650,10631,8346,31023,4490,2658,943,34915,4685,29799,9213,4688,22028,69952,4706,6608,9763,6775,381,7067,5927,2887,2608,17,5561,1895,457,931,2051,986
迪,171499,162327,10539,3887,16518,3337,7288,37644,21175,24072,3913,18132,9494,17605,1531,2810,29054,35877,18945,8502,7033,5088,496,3990,11111,10469,9774,603,10108,1668,260,990,1582,383
晓玲,2405,330816,2136,1102,12567,10871,6533,8407,6038,9014,2640,14295,9412,14213,13829,8511,17445,15794,17896,15295,46102,10718,1212,11215,29292,3985,6480,124,14118,12519,2088,3904,4636,810
秀清,25625,306803,9058,2952,20348,11651,15172,21112,10974,17478,1714,6200,5020,3514,20320,4361,20179,12813,10267,5901,27809,30948,1172,3661,48099,2438,4979,24,5496,3062,3094,556,1564,492
玉萍,2888,329280,4561,4617,11164,13353,6858,14425,7096,12365,5553,27016,8710,21101,7042,11234,19223,23368,12996,7785,14433,12741,1734,3072,15606,4309,10091,88,10994,23528,3646,4321,7573,1565
卫东,316538,13908,7520,3133,23348,13582,6628,9331,6211,8957,6650,39725,9270,16986,3194,10383,27416,40107,13867,11281,11997,5203,755,4675,13405,2633,4949,164,13306,6881,651,2095,4652,1491
艳梅,336,329688,2865,1560,22481,9212,10597,19252,16032,21394,353,13649,1052,16293,2415,11375,17195,31310,15755,19476,11246,16582,429,2360,18226,6439,21507,33,11915,4296,614,1454,2704,547
虎,327311,889,2691,1625,14044,8911,11107,3703,3840,2144,885,24718,2216,41609,715,3799,22074,19379,30848,15759,2535,3343,796,4244,34115,18951,8933,56,17230,15063,1383,6689,4284,1029
小明,269931,57496,1947,621,9622,9786,3642,3157,3205,3058,2310,21265,19278,11067,10719,39810,4075,12733,17365,32434,18662,13377,2180,9081,25429,7416,7444,38,15547,16155,842,2943,1750,472
小军,302085,24927,1775,488,12687,17824,6733,1558,1211,1264,785,17912,10005,6559,2665,22503,4013,19851,14589,37706,7106,6415,972,8249,34846,9052,2265,49,34654,31089,1281,7651,2614,637
丽红,2737,323380,2237,1532,24398,16324,10352,24151,15060,21673,2279,8911,12385,5919,20127,19172,12752,17417,11305,15684,26953,13878,1315,1241,7990,3435,13860,20,3382,8040,230,2404,1367,324
爱珍,1809,324206,924,531,11816,18575,3605,932,642,1537,9974,26591,32761,15197,16210,19926,21623,22660,26789,30263,21292,20189,3512,292,705,1831,1089,12,7716,6594,236,581,963,447
建民,314175,11111,8093,5094,45151,17154,8524,5482,4894,8466,6550,14673,11617,9624,6038,8115,31648,46592,5904,13727,6704,3643,559,1852,5954,1176,2568,48,28120,8775,1081,2297,3820,1343
春玲,3779,318786,5279,3554,18867,6166,9532,21576,19976,34049,885,12395,4300,11055,3926,4664,36553,47038,9557,6219,13942,14527,1813,3350,4618,1003,3823,45,13505,4355,707,1864,3135,973
明英,7021,315050,633,615,3914,2395,1142,3468,2201,3369,1289,13989,3831,22956,6589,7209,25099,16942,30304,10398,8042,9409,1184,23470,59704,36999,13662,32,7813,2299,803,648,1097,566
小林,197716,124043,1113,306,5783,8817,2612,1218,597,791,1532,20197,11602,9576,3376,29827,2446,7705,20127,41519,5995,9418,654,24217,63437,10030,5807,42,12902,15180,804,2381,1260,488
莹莹,2690,318944,2447,2421,15862,4255,5507,19529,12099,19901,1431,18351,12170,31295,7127,5485,29028,63048,10416,2833,20972,9939,2013,2731,4147,2680,1659,14,7244,4488,214,932,1052,430
蕊,7133,313582,15356,12290,35251,8138,8815,15725,7313,15619,1256,13676,1941,19362,2658,3213,27118,35731,6376,3716,4514,1413,2177,3324,11631,4234,21334,44,20888,9720,1878,2784,2706,595
永,289423,30198,3838,2868,29126,8178,15127,11290,6035,7433,843,29206,3326,36433,2437,3495,24336,29151,6004,9541,8010,8983,756,5231,15967,15142,15730,3220,8204,4112,1074,1833,1089,322
立新,236367,81853,11036,5172,38624,5833,11227,30809,20920,19974,2982,19060,8940,13429,3997,7568,20197,15894,13947,31524,8292,4708,472,1863,4884,1362,2286,41,4273,3383,428,1746,2663,686
志,298504,17297,4047,2872,19587,5855,13112,18769,14215,21029,581,12055,2852,24154,2987,9087,14568,12791,21305,28096,12247,12615,1606,6676,26661,8027,11662,96,2367,2286,365,1277,1541,413
春芳,28980,286080,2794,2026,14611,8358,4642,9501,6572,10445,6265,24517,14717,15491,4445,8961,19920,23653,25536,18391,8658,12204,2007,5337,25830,2484,5587,28,17095,9370,1390,1717,1867,654
维,179885,134771,6469,4615,12228,3414,3529,10275,5915,7135,4163,15753,6152,11421,1843,9283,6239,5942,30915,39662,8528,8840,788,19093,40441,21155,8893,79,15074,3985,366,881,1255,386
国良,310571,3656,3483,2698,18947,5309,8314,14791,10264,16755,10362,26124,32942,7781,7404,11098,12581,16486,10126,25011,20742,5314,1180,3959,16269,4677,10165,16,2898,4058,1918,915,1271,369
淑清,3208,310962,10851,2203,8707,2422,13390,66299,55746,86138,306,1135,865,721,4505,2700,7032,1586,1917,2760,4661,1580,133,6642,27102,421,566,9,1046,1134,365,277,724,227
义,282275,31864,4264,2875,23471,11231,18025,23212,17180,26532,1108,11856,4248,14466,2592,3981,10545,11081,21137,15441,5988,4904,1264,9731,23071,21444,8407,50,4591,6056,1346,2044,1582,416
淑梅,173,313928,3672,3900,22888,7642,16430,50982,37946,51943,414,5378,1661,5789,7103,6740,22191,9246,3272,8482,6739,2424,1356,5317,2752,672,1062,10,7567,11805,1158,4794,2150,613
菊花,316,312292,361,124,4845,9171,2459,1459,1245,1309,3240,9887,35152,21169,10734,39547,4119,16732,18155,27532,6566,5115,3411,2906,20502,7643,12936,20,9601,26536,1859,4161,3049,1063
振,302832,7691,4885,4599,18900,4582,4460,16452,7500,11970,1377,20926,3754,38631,2997,5889,51945,47189,13895,11068,5073,8158,1049,1368,2909,2520,2259,22,10334,2554,236,1108,1386,527
小娟,669,309526,1187,457,14523,8904,3542,1497,1602,1808,823,22012,19220,14040,7206,14405,7440,32993,9626,16028,24670,16294,2960,8136,17132,3893,1299,31,28805,21872,685,5350,1396,359
艳艳,1402,306953,1524,2164,20998,14881,7940,8031,5969,10709,714,10634,6065,17212,3949,8332,43645,59870,10989,9347,3007,6339,909,1663,3161,3284,2707,26,26024,14374,543,1457,1536,378
爱玲,922,305969,1757,1639,16435,14711,4043,2443,1560,3662,1871,16749,8722,13097,4689,5019,55992,64837,11720,6939,14451,8391,1308,810,2897,1084,2026,24,24368,10021,460,1850,2730,1065
海峰,291402,15472,3921,1566,23225,13100,15171,14455,16014,24679,4601,25113,11721,18122,3380,7335,23095,27832,10167,7608,8922,7307,1001,2667,5436,1955,2053,36,12569,7422,1962,2055,1902,482
胜利,285899,20823,6249,3957,26778,11568,10738,7793,4456,7332,2047,10201,7309,19311,4665,2520,21202,76349,14402,13195,2243,1301,176,3469,5448,3878,761,38,28001,6770,453,1036,2096,980
胜,296503,10083,2089,2246,12737,7891,5702,8176,4922,5129,1584,17197,7323,27579,4021,11191,11474,13413,29689,29659,15806,16321,2577,11917,26548,14100,6323,68,3497,3283,672,792,2060,666
志平,236332,68787,2886,1866,23967,14684,7148,6085,4305,6424,4450,25507,10595,10595,9177,22899,8591,13802,15675,29968,21423,7363,1183,5959,21444,6139,7496,21,6904,4790,438,1631,1312,392
春生,295168,9343,8344,5225,25892,14501,6994,15192,12891,19660,1640,13495,6911,12603,8821,27625,14186,27851,13253,26439,8569,6242,424,2510,4871,1654,4360,28,6449,4204,694,835,1627,513
明明,204106,100258,2017,1085,21374,11475,7786,11549,8022,15581,1514,20045,7600,31049,3251,8826,29425,52312,11229,8463,2835,3503,492,1666,5026,4853,1116,21,15758,12908,262,1471,1405,445
云霞,2579,299923,2880,2552,22180,17756,10474,10409,8137,13899,2520,22847,6657,20247,3580,7283,29647,38264,13587,7417,4287,2218,908,4559,10768,5209,5528,35,9658,13644,641,2131,1905,675
园园,28915,273520,1399,1238,25965,8460,3794,6247,3422,6104,746,24487,8214,32764,1247,8975,31120,66452,14308,9365,2468,3964,386,3150,6280,3202,1610,14,18212,5015,182,1285,1678,682
娇,4929,297481,1587,849,12503,8183,4716,23169,5573,3839,726,14136,3987,9722,4007,13151,13835,12859,20880,12530,25334,6146,3937,13032,32576,15763,17152,40,14143,3798,235,1918,1280,390
