name,n.male,n.female,beijing,tianjin,hebei,shanxi,neimenggu,liaoning,jilin,heilongjiang,shanghai,jiangsu,zhejiang,anhui,fujian,jiangxi,shandong,henan,hubei,hunan,guangdong,guangxi,hainan,chongqing,sichuan,guizhou,yunnan,xizang,shaanxi,gansu,qinghai,ningxia,xinjiang,others
琳,97424,703810,16688,12544,30226,20349,10280,47247,18340,28058,17961,53931,23529,36414,21028,30300,66289,56180,38392,40813,29082,19099,3791,20878,64009,18174,18111,246,34219,11476,2239,3379,5828,1462
雪梅,1567,796387,8062,3050,24248,17409,10479,18250,12268,17632,3541,31622,18908,45010,16419,34177,49613,44839,23348,55250,59922,41177,4011,31604,126327,15745,19926,207,23101,25819,2311,3391,8093,2217
兵,736890,53899,6626,2467,26610,15065,11662,23248,10850,11232,5611,77429,6685,60039,2847,22807,35151,41570,71811,52374,9077,12551,978,41301,137666,34265,24783,211,16882,9936,602,8604,8180,2567
建平,625223,157557,8573,3812,43042,56526,21691,7344,5202,7752,21254,78051,49569,16485,24335,54436,24263,34237,34116,77335,26230,11279,1297,17750,57251,12205,19169,109,31831,23381,1491,5612,5201,2007
秀云,12924,769442,12839,10612,68779,14080,28404,45779,34150,56230,2392,39900,8856,56134,18260,4874,118570,117322,16329,15112,22564,12671,1100,3730,24548,5704,4847,38,28292,5278,835,1444,3385,1608
秀华,40732,729745,13623,10883,43276,2344,17701,50951,36133,55694,9229,63350,13564,39393,36228,11654,74934,28989,23877,16782,30449,22304,1255,9889,123044,7387,14359,58,5100,1766,506,794,3756,1209
桂荣,44906,722751,16866,14513,76443,6155,42926,91571,67337,94101,1625,22674,3888,29089,3423,8915,92446,108848,18345,6335,12429,18113,2646,1311,4299,1730,3472,23,8379,2849,586,1287,3489,1544
淑珍,659,753763,32420,20042,53024,17486,35706,93812,93380,126891,2015,11357,4941,6795,18749,17357,37618,12792,15130,23315,21488,5035,1988,7380,38601,2497,3868,30,14133,21712,1463,8014,4107,1276
秀荣,15316,736835,20948,14378,109592,9281,27027,35271,22317,39307,628,17305,2110,42423,4491,3286,114162,199849,12976,2385,9412,23956,2388,1658,9588,3106,2328,36,9238,4156,727,1566,4168,2088
荣,336388,415623,6164,4793,33329,23833,39020,19201,14317,27126,9416,60887,10052,52441,8290,19174,31067,52533,48167,31728,23495,24334,4376,16852,50882,27359,31335,186,34278,20199,2003,11312,10037,2206
晶,103917,646891,15405,11335,30470,31151,21192,77113,75978,94971,10766,40557,14285,18051,10739,23870,41078,29454,54794,35922,8130,5080,2326,7091,14298,8267,10952,83,23401,17409,2184,6192,6993,1271
佳,209576,538680,18540,10076,45497,22463,18243,37750,20271,26898,18727,46329,28337,22030,6145,27992,31192,39755,42104,69698,15867,9779,2108,25924,70371,15441,15534,167,33537,10255,1027,10484,4585,1130
丹丹,13283,726800,3750,3449,50074,16103,14834,20633,27913,51377,1888,51802,23616,70255,10368,20631,49640,136375,38234,16726,18260,13749,3293,10686,22864,19477,4308,35,25296,9502,390,893,2571,1091
小平,417178,319874,3214,781,19659,29604,10285,3445,3397,3218,3692,42189,32349,23253,13123,74688,7171,32336,47380,96999,25526,15931,2237,36403,92703,18143,9917,117,40853,35248,1912,6432,3623,1224
金凤,9732,711641,8509,8933,38013,12218,15350,28822,24459,42872,11560,62365,30768,41406,21622,34481,43628,50051,35365,34111,46732,38995,2960,6300,22589,11757,17173,32,11981,9962,784,3784,2810,981
彬,609519,106412,10066,8821,38374,9509,12962,31680,17896,27018,8841,44993,15996,45334,15951,22270,51523,44047,23784,40497,29127,23017,4399,27393,97723,16375,12468,158,15449,6480,1167,2605,5213,1310
桂花,1435,707955,3138,1882,44859,30432,26221,17418,9987,14016,3822,26671,32593,30127,19368,54960,68403,62797,21095,44415,24187,23986,7923,6712,24298,9699,16264,47,19133,33842,9723,11201,7684,2494
丽萍,1249,701205,5572,4614,18470,32485,17300,32114,17834,29529,15229,36967,36497,21683,36630,44955,31502,23355,23772,26605,53378,41136,5067,4098,30804,8847,48702,134,13194,21736,2323,6499,6125,1418
文,511717,186784,8532,4924,23621,16372,19115,23146,19389,28277,6586,37280,8867,36693,13535,36677,36274,24494,53531,69754,31818,25959,8269,14678,57605,19869,23539,128,21254,13322,2479,5999,5212,1309
